,PC1,PC2,PC3,PC4
INDICE_ESCOL3_norm,0.31720926281907,0.0225076752164655,-0.285018572135084,-0.313164392204545
INDICE_ESCOL_PAI_norm,0.363402048939694,0.117085553354797,0.15200796008683,0.172113738100133
INDICE_ESCOL_MAE_norm,0.360117390249813,0.134082367094038,0.238113980165163,-0.144881444827581
INDICE_OCUPACAO_norm,0.335887564244734,-0.120318402387733,-0.12792505115439,-0.338528202185336
INDICE_OCUPACAO_PAI_norm,0.332075572467136,0.204722588499611,0.172466334500687,0.178082559072158
INDICE_OCUPACAO_MAE_norm,0.287072276537843,0.341812873954579,0.240567482055781,-0.0977671458345678
INDICE_OCUPACAO_SONHOS2_norm,0.0216605293864943,-0.402439463191346,0.0861033432680978,-0.42919353011998
INDICE_MEGA_norm,0.230387395608464,-0.292401024738178,0.0684956372790078,0.292871630103035
INDICE_RENDA_IND_norm,0.162528132228963,0.230391757742849,-0.313038049761591,0.234381481357899
INDICE_IMOVEL_norm,0.0613007380758392,-0.347648854906266,-0.492229131705415,0.0837503419641172
INDICE_LAZER_norm,0.257633255513476,-0.312939941882876,0.140368107410662,0.138443120786196
INDICE_LAZER_CAMPINAS_norm,0.0991710907883942,0.184208118880059,-0.314659623956822,-0.41942304768864
INDICE_VIAGEM_norm,0.0885696212496405,0.0917477308247264,-0.371498702218625,0.255972032898998
INDICE_VIAGEM_LUGAR_norm,0.161274717867609,0.21534428964091,-0.351436188143591,0.145035858410272
INDICE_VIAGEM_VONTADE_norm,0.333605851211636,-0.263666548278881,0.0474021617752002,-0.0488749539784836
INDICE_INFANCIA_norm,0.164469101097245,-0.342069487493883,-0.0105000517006565,0.281928049385087
